Number,Message
1006,1006
4483,4483
4940,Tatras
4267,4267
3084,Patte
520,Tatras
4469,4469
3362,3362
2869,2869
1395,Pattatras
778,778
3286,3286
2646,Patte
3562,3562
1951,1951
5099,5099
2087,2087
2053,2053
1776,Patte
4263,Patte
3248,3248
2856,Patte
2481,Patte
5318,5318
772,772
1504,1504
1849,1849
5210,Tatras
2919,Patte
5634,Patte
5177,5177
2336,2336
746,746
2993,2993
4,4
1376,1376
3531,Patte
1348,1348
2203,2203
5264,5264
6410,Tatras
2089,2089
4380,Pattatras
6146,6146
3923,3923
4269,Patte
2585,Tatras
5495,Tatras
6113,6113
1517,1517
3713,3713
5147,5147
6312,Patte
5262,Patte
519,Patte
2251,2251
5635,Tatras
4031,4031
981,Patte
433,433
5899,5899
3195,Pattatras
1193,1193
6077,6077
2357,2357
1161,Patte
4842,Patte
310,Tatras
4044,Patte
4339,4339
5460,Pattatras
1030,Tatras
956,956
1733,1733
2569,2569
1751,1751
3168,Patte
1588,1588
3617,3617
3375,Pattatras
2032,2032
2868,Patte
5250,Pattatras
1900,Tatras
1430,Tatras
4492,4492
362,362
3246,Patte
3475,Tatras
2122,2122
762,Patte
3289,3289
4023,Patte
4603,4603
3273,Patte
2726,2726
5705,Tatras
1939,1939
3224,3224
5156,5156
1319,1319
1854,Patte
5012,5012
423,Patte
4013,4013
6215,Tatras
4196,4196
3500,Tatras
2460,Pattatras
3492,Patte
4224,Patte
971,971
6268,6268
3274,3274
5862,Patte
370,Tatras
4120,Tatras
4892,4892
4086,Patte
2440,Tatras
4538,4538
3787,3787
2361,Patte
2604,Patte
3376,3376
3036,Patte
1994,1994
36,Patte
3486,Patte
2202,Patte
2215,Tatras
2564,2564
1445,Tatras
3832,3832
6205,Tatras
209,209
132,Patte
5965,Tatras
1986,Patte
5161,5161
6147,Patte
3093,Patte
3838,3838
287,287
2400,Pattatras
3895,Tatras
5806,5806
1918,1918
4848,Patte
940,Tatras
4417,4417
2169,Patte
2944,2944
4471,4471
2848,2848
6229,6229
4253,4253
3220,Tatras
3447,Patte
559,559
4360,Tatras
1661,1661
2889,Patte
1111,1111
2863,2863
6248,6248
3275,Tatras
1868,1868
3950,Tatras
6397,6397
5040,Pattatras
5490,Pattatras
3566,3566
5090,Tatras
3575,Tatras
6324,Patte
134,134
2870,Tatras
4250,Tatras
3173,3173
952,952
4542,Patte
5271,Patte
3185,Tatras
5742,Patte
6032,6032
5720,Tatras
1619,1619
1687,1687
5451,Patte
6392,6392
4184,4184
6174,Patte
2418,Patte
3571,3571
3724,3724
6237,Patte
6076,6076
4317,Patte
2212,2212
4800,Pattatras
2541,Patte
4861,4861
5989,5989
6309,Patte
2496,Patte
3171,Patte
6069,Patte
446,446
4890,Pattatras
5014,5014
2288,2288
4799,4799
3739,3739
17,17
4584,Patte
3265,Tatras
2346,Patte
2749,2749
5166,Patte
5789,5789
4919,4919
6292,6292
3554,3554
5711,5711
822,Patte
3013,3013
3262,3262
4436,4436
2303,2303
1560,Pattatras
4786,4786
1677,Patte
4565,Tatras
5837,5837
3520,Tatras
5192,5192
531,Patte
1051,1051
1184,1184
6241,6241
2452,2452
3029,3029
2684,2684
1959,Patte
6173,6173
1157,1157
81,Patte
5413,5413
3588,Patte
213,Patte
4585,Tatras
4502,4502
5125,Tatras
3010,Tatras
4137,Patte
3050,Tatras
40,Tatras
5975,Tatras
6079,6079
5648,5648
3483,Patte
133,133
5097,Patte
6138,Patte
4081,4081
4876,4876
2247,Patte
1175,Tatras
3870,Pattatras
4301,4301
5590,Tatras
1618,1618
499,499
4867,4867
6274,6274
5121,Patte
6140,Tatras
6144,Patte
4389,Patte
3628,3628
867,Patte
1990,Tatras
5938,5938
1153,1153
5751,Patte
3354,Patte
5170,Tatras
6001,6001
3722,3722
1724,1724
5993,5993
87,Patte
1710,Pattatras
2344,2344
2325,Pattatras
3638,3638
3652,3652
498,Patte
4922,4922
4943,4943
524,524
455,Tatras
1576,1576
2745,Pattatras
5696,5696
2352,Patte
3059,3059
1566,Patte
1628,1628
1020,Pattatras
2379,Patte
3320,Tatras
3314,3314
1904,1904
503,503
742,742
4781,4781
5444,5444
6180,Pattatras
3489,Patte
2730,Pattatras
37,37
4435,Tatras
2413,2413
2389,2389
3620,Tatras
2073,Patte
200,Tatras
2597,2597
2268,Patte
3270,Pattatras
1223,1223
4311,Patte
5469,Patte
2815,Tatras
3166,3166
4009,4009
6059,6059
1021,1021
5842,5842
2727,Patte
3595,Tatras
624,Patte
1068,Patte
4378,4378
3769,3769
1557,Patte
4090,Tatras
2151,Patte
4187,4187
1054,1054
2064,Patte
3355,Tatras
5021,5021
2010,Pattatras
5661,Patte
4755,Pattatras
3874,3874
3326,3326
1305,Pattatras
1089,Patte
2335,Tatras
3627,Patte
2232,Patte
1855,Tatras
346,346
3213,Patte
3775,Tatras
1489,1489
5175,Pattatras
1009,1009
1332,Patte
4873,4873
1310,Tatras
6071,6071
737,737
2426,2426
3234,Patte
4026,Patte
3016,3016
3616,3616
5609,5609
3288,Patte
1476,Patte
3836,3836
2164,2164
706,706
5060,Tatras
2348,2348
227,227
5978,5978
2507,2507
1046,1046
2160,Pattatras
4806,Patte
2136,Patte
2852,2852
3116,3116
904,904
225,Pattatras
3305,Tatras
3255,Pattatras
3675,Pattatras
3285,Pattatras
993,Patte
1540,Tatras
3830,Tatras
812,812
967,967
1692,Patte
3837,Patte
1456,1456
3766,3766
2788,2788
3210,Pattatras
6387,Patte
2741,2741
784,784
3499,3499
1356,Patte
2377,2377
722,722
2085,Pattatras
243,Patte
3580,Tatras
2248,2248
5906,5906
886,886
708,Patte
5507,5507
5201,5201
2372,2372
1747,1747
85,Tatras
112,112
6010,Tatras
5322,Patte
5346,Patte
2547,Patte
5716,5716
2528,2528
5277,Patte
730,Tatras
1091,1091
6141,Patte
2130,Pattatras
968,968
2747,2747
4813,4813
3823,3823
4121,4121
6006,Patte
4016,4016
5380,Tatras
6456,Patte
68,68
5155,Tatras
631,631
3533,3533
575,Tatras
1748,1748
352,352
4636,4636
2150,Tatras
2431,2431
1282,1282
342,Patte
30,Pattatras
1303,1303
1183,1183
6027,Patte
2596,2596
536,536
1673,1673
675,Pattatras
5649,Patte
2153,2153
6232,6232
2881,2881
629,629
1408,1408
4478,4478
3748,3748
4266,Patte
4315,Tatras
332,332
4281,Patte
3806,3806
92,92
4207,4207
6383,6383
813,Patte
2888,2888
679,679
2521,2521
6278,6278
3196,3196
4011,Patte
4523,4523
1956,Patte
5375,Tatras
4855,Tatras
1108,1108
2354,2354
4247,4247
6088,6088
6307,6307
5403,Patte
786,Patte
286,286
2142,Patte
1037,1037
2535,Pattatras
4760,Tatras
6179,6179
2577,Patte
585,Pattatras
596,596
418,418
4878,Patte
2299,2299
2997,Patte
1368,Patte
5582,5582
637,637
1109,1109
293,293
4206,Patte
1250,Tatras
2317,2317
2531,2531
4774,4774
3659,3659
3738,Patte
3461,3461
26,26
6273,Patte
941,941
1835,Tatras
884,884
3442,3442
6337,6337
3757,3757
5236,5236
5107,5107
606,Patte
4976,4976
1996,1996
5834,5834
1438,1438
6039,Patte
2223,Patte
5330,Tatras
5188,5188
3684,Patte
2074,2074
4257,Patte
3949,3949
908,908
264,Patte
666,Patte
2805,Pattatras
2347,2347
3090,Pattatras
4037,4037
1779,Patte
27,Patte
3028,3028
3803,3803
355,Tatras
5399,5399
52,52
2052,Patte
3829,3829
4563,Patte
3291,Patte
2006,2006
1292,1292
381,Patte
3877,3877
3322,3322
773,773
2200,Tatras
1197,Patte
3200,Tatras
3480,Pattatras
5702,5702
4496,4496
3761,3761
2529,Patte
348,Patte
3007,3007
3876,Patte
221,221
3710,Tatras
532,532
1612,1612
1894,1894
2728,2728
2434,2434
1569,Patte
1468,1468
1599,Patte
4439,4439
3686,3686
5575,Tatras
359,359
4581,Patte
2978,2978
4155,Pattatras
2255,Tatras
276,Patte
6255,Pattatras
203,203
3163,3163
4820,Tatras
5937,Patte
325,Tatras
5791,5791
2607,Patte
1984,1984
1462,1462
2154,Patte
3278,3278
2070,Pattatras
2370,Pattatras
4747,4747
3235,Tatras
3601,3601
3477,Patte
2825,Tatras
3411,Patte
4433,4433
4012,4012
5119,5119
4129,4129
777,Patte
6416,6416
73,73
3685,Tatras
3630,Pattatras
2838,Patte
1841,1841
164,164
5510,Tatras
5189,5189
1672,1672
1402,1402
3014,3014
1526,1526
1942,1942
1583,1583
4978,4978
1730,Tatras
3318,Patte
468,Patte
5387,5387
870,Pattatras
5877,Patte
193,193
3216,Patte
1371,Patte
3651,Patte
4316,4316
3069,Patte
5598,Patte
1767,Patte
5168,5168
729,Patte
3608,3608
3049,3049
2027,2027
2688,Patte
69,Patte
5998,5998
611,611
3696,Patte
252,Patte
1147,1147
4048,4048
3934,3934
1119,Patte
178,178
6443,6443
5453,5453
1168,1168
3183,Patte
128,128
3249,Patte
3954,Patte
5670,Pattatras
5128,5128
3848,3848
4980,Pattatras
5880,Pattatras
5389,5389
3646,3646
5019,Patte
829,829
3383,3383
1387,1387
6433,6433
1979,1979
6338,6338
2927,2927
6047,6047
3702,Patte
5458,5458
1755,Pattatras
3303,Patte
2583,Patte
4287,Patte
338,338
5477,5477
3618,Patte
1505,Tatras
456,Patte
428,428
3947,3947
2654,2654
1115,Tatras
2293,2293
1414,1414
3398,3398
4007,4007
3023,3023
1509,Patte
5198,5198
3317,3317
6045,Pattatras
5355,Pattatras
434,434
2664,Patte
5376,Patte
3230,Tatras
3737,3737
4354,4354
1639,1639
3513,Patte
5077,5077
1399,1399
251,251
1740,Pattatras
5778,Patte
4860,Pattatras
2201,2201
3842,3842
5274,Patte
2137,2137
237,Patte
4885,Tatras
1601,1601
1103,1103
4500,Pattatras
4403,4403
1753,1753
1495,Tatras
5464,5464
4382,4382
3508,3508
4969,4969
392,392
2836,2836
1793,1793
6130,Tatras
2681,2681
787,787
5740,Tatras
3378,Patte
3519,Patte
5957,5957
1079,1079
1134,Patte
3150,Pattatras
4152,Patte
2249,2249
3645,Pattatras
5365,Tatras
1226,1226
3032,3032
538,538
1100,Tatras
4425,Pattatras
1417,1417
733,733
3137,3137
4264,4264
5235,Pattatras
5547,Patte
4648,4648
4138,4138
1290,Pattatras
3557,3557
3181,3181
2057,2057
2424,Patte
3834,Patte
5286,Patte
6128,6128
6421,6421
2210,Tatras
4238,4238
2929,2929
4087,4087
1281,Patte
3589,3589
1010,Tatras
5722,5722
6182,6182
4950,Pattatras
5186,5186
2917,2917
402,Patte
579,Patte
1247,1247
5199,Patte
6441,Patte
804,Patte
6040,Tatras
4437,Patte
2023,2023
4366,4366
6298,6298
331,331
3429,Patte
2192,2192
6025,Tatras
3301,3301
1630,Tatras
3862,3862
3669,Patte
46,46
6170,Tatras
5678,5678
4612,4612
5690,Tatras
3615,Pattatras
1775,Tatras
2313,Patte
1133,1133
4905,Pattatras
5268,Patte
4341,Patte
4927,4927
226,226
597,Patte
3804,Patte
289,289
3482,3482
3624,Patte
1272,Patte
3942,Patte
3843,Patte
1221,Patte
3251,3251
5114,5114
5082,Patte
2269,2269
1631,1631
2833,2833
153,Patte
2244,Patte
357,Patte
2235,Pattatras
4537,4537
4659,Patte
6192,Patte
634,634
4412,4412
2012,2012
2189,2189
3165,Pattatras
2758,2758
4627,4627
1088,1088
1675,Tatras
3420,Pattatras
1127,1127
1947,Patte
177,Patte
4091,4091
2779,2779
4003,4003
4872,Patte
76,76
3118,3118
2995,Tatras
6295,Tatras
1217,1217
6245,Tatras
626,626
4793,4793
2536,2536
972,Patte
655,Tatras
901,901
1731,Patte
593,593
3634,3634
4461,Patte
5701,5701
185,Tatras
2579,2579
5140,Tatras
924,Patte
710,Tatras
1528,1528
4326,Patte
3075,Pattatras
687,Patte
6002,6002
5866,5866
1277,1277
5600,Tatras
5145,Pattatras
1035,Pattatras
4045,Tatras
1653,Patte
500,Tatras
4526,4526
5769,Patte
1651,1651
4072,4072
2624,2624
1258,1258
5981,5981
5481,Patte
4114,4114
3371,3371
5792,5792
5423,5423
408,Patte
5313,Patte
1234,1234
491,491
141,Patte
2668,2668
5776,5776
4669,4669
5024,5024
3095,Tatras
3438,Patte
4414,4414
4428,Patte
3762,Patte
108,Patte
4249,4249
2952,Patte
2631,Patte
3294,Patte
3372,Patte
4347,Patte
3259,3259
4651,4651
290,Tatras
5096,5096
4740,Pattatras
2708,2708
2925,Pattatras
4178,4178
3867,Patte
24,Patte
1146,Patte
6353,6353
913,913
5415,Pattatras
5744,5744
1001,1001
2563,2563
1617,Patte
2036,2036
6058,6058
5781,Patte
3485,Tatras
5485,Tatras
1384,1384
1239,Patte
6368,6368
2638,2638
3930,Pattatras
3903,Patte
4497,Patte
3123,Patte
1212,Patte
4735,Tatras
244,244
6101,6101
2992,2992
1629,Patte
2219,2219
3841,3841
4918,4918
4096,4096
1548,Patte
295,Tatras
4578,Patte
4239,Patte
140,Tatras
3109,3109
2989,2989
16,16
4116,Patte
1864,1864
2933,2933
2821,2821
3370,Tatras
5658,Patte
937,937
2439,Patte
5165,Tatras
5526,Patte
2740,Tatras
6250,Tatras
5721,Patte
6429,Patte
1606,1606
1311,Patte
5219,5219
5284,5284
529,529
3431,3431
1312,1312
3260,Tatras
610,Tatras
5855,Tatras
166,166
4218,Patte
5652,Patte
1255,Tatras
1029,Patte
3983,3983
1706,1706
2763,Patte
1760,Tatras
4987,4987
704,704
5029,5029
4197,Patte
906,Patte
1314,Patte
1034,1034
4845,Pattatras
6370,Tatras
4901,4901
383,383
1719,Patte
3699,Patte
2787,Patte
600,Pattatras
5042,5042
4756,4756
4183,4183
1693,1693
3655,Tatras
3307,3307
1288,1288
3850,Tatras
1923,Patte
5677,5677
2509,2509
839,839
395,Tatras
6372,Patte
241,241
1559,1559
1995,Pattatras
903,Patte
4029,Patte
948,Patte
115,Tatras
779,779
4559,4559
4790,Tatras
1382,1382
2450,Tatras
591,Patte
6339,Patte
4788,Patte
4104,Patte
4961,4961
6306,Patte
1048,1048
218,218
7,7
4910,Tatras
580,Tatras
328,328
6373,6373
3951,Patte
2261,2261
4174,4174
1158,Patte
5797,5797
2907,Patte
1439,1439
5872,5872
1933,1933
2847,Patte
5160,Pattatras
3215,Tatras
921,Patte
4385,Tatras
2199,Patte
2076,Patte
6251,6251
5963,5963
1162,1162
2635,Tatras
6352,6352
2029,2029
5879,5879
5964,Patte
4782,Patte
3392,3392
4356,Patte
1638,Patte
61,61
557,557
341,341
5051,5051
2188,2188
2798,2798
4039,4039
59,59
2392,2392
5000,Tatras
335,Tatras
1474,1474
2373,Patte
951,Patte
2715,Pattatras
4930,Tatras
3927,Patte
477,Patte
649,649
5072,5072
2106,Patte
3031,3031
1757,1757
3302,3302
740,Tatras
4596,Patte
5377,5377
2011,2011
4083,Patte
5928,Patte
511,511
5808,Patte
3728,3728
5622,Patte
4657,4657
2081,2081
917,917
2553,Patte
6326,6326
5968,5968
5446,5446
988,988
2795,Tatras
732,Patte
4101,Patte
5394,Patte
1291,1291
1189,1189
4447,4447
3054,Patte
1099,1099
5787,Patte
4691,4691
2720,Tatras
2908,2908
5735,Tatras
4446,Patte
3450,Pattatras
5518,5518
2144,2144
5568,Patte
2030,Tatras
1140,Pattatras
1465,Tatras
2533,2533
2930,Tatras
3347,3347
4761,Patte
3515,Tatras
2301,Patte
1120,Tatras
4135,Tatras
1494,Patte
1957,1957
2756,2756
2641,2641
2674,2674
6036,Patte
1712,1712
2405,Tatras
385,Tatras
3191,3191
5692,5692
42,Patte
4954,4954
5647,5647
461,461
1142,1142
2339,2339
2696,2696
6218,6218
2683,2683
1262,1262
1597,1597
1230,Pattatras
5939,5939
2813,2813
795,Pattatras
2079,Patte
5126,5126
1562,1562
2233,2233
3878,3878
5820,Pattatras
5846,5846
1163,1163
462,Patte
5852,5852
1636,1636
329,329
566,566
5619,Patte
4754,4754
790,Tatras
2365,Tatras
4706,4706
654,Patte
173,173
6203,6203
1941,Patte
2718,Patte
4151,4151
763,763
2703,Patte
3790,Tatras
3671,3671
2717,2717
2982,Patte
5308,5308
5636,5636
2956,2956
1231,1231
6269,6269
1261,1261
5659,5659
1803,Patte
4323,Patte
3522,Patte
3953,3953
2121,Patte
4244,4244
2526,Patte
122,122
4319,4319
4818,Patte
215,Tatras
3346,3346
703,703
97,97
4067,4067
1875,Pattatras
4256,4256
1657,1657
2543,2543
2640,Pattatras
4633,4633
5185,Tatras
6355,Tatras
3974,3974
5353,5353
4898,4898
1322,1322
6191,6191
4278,Patte
5133,Patte
5404,5404
2855,Tatras
5587,5587
2326,2326
2043,Patte
595,Tatras
4421,4421
893,893
1388,1388
1401,Patte
6090,Pattatras
3556,3556
874,874
1377,Patte
4175,Tatras
4621,4621
5836,5836
586,586
4982,4982
3358,3358
5675,Tatras
1086,Patte
5472,Patte
5405,Tatras
4708,4708
5599,5599
1008,Patte
881,881
4132,4132
1561,1561
4912,4912
5794,5794
4075,Tatras
858,Patte
2729,2729
5435,Tatras
5851,5851
2662,2662
4123,4123
6393,Patte
3682,3682
6272,6272
2018,2018
4721,4721
6252,Patte
3767,3767
5525,Tatras
5738,5738
2220,Pattatras
3413,3413
4451,4451
946,946
3633,Patte
5615,Tatras
2988,Patte
5556,Patte
379,379
1813,1813
2353,2353
5266,5266
1949,1949
3600,Pattatras
3553,3553
5840,Tatras
589,589
5496,Patte
4787,4787
1890,Pattatras
3178,3178
1403,1403
3148,3148
1117,1117
2887,2887
2276,2276
2940,Pattatras
5343,Patte
4701,Patte
5136,Patte
4241,4241
4996,4996
820,Tatras
5063,5063
4198,4198
1045,Tatras
242,242
6114,Patte
6177,Patte
5231,5231
4144,4144
1215,Pattatras
6265,Tatras
2099,2099
1632,Patte
5873,5873
6054,Patte
3229,3229
5052,Patte
2003,2003
1525,Tatras
1858,1858
4073,4073
6020,Tatras
4355,Tatras
4046,4046
2304,Patte
5646,Patte
2924,2924
5390,Tatras
2974,2974
101,101
5838,Patte
3290,Tatras
698,698
6406,6406
5867,5867
3582,Patte
98,98
4670,Tatras
2695,Tatras
3785,Tatras
4639,4639
4260,Pattatras
1680,Pattatras
33,Patte
5624,5624
4852,4852
1071,Patte
3142,3142
2951,2951
1574,1574
4489,4489
2545,Tatras
2712,Patte
6438,Patte
3417,Patte
1359,Patte
3396,Patte
1742,1742
236,236
1821,Patte
3664,3664
4881,Patte
5860,Tatras
638,638
4042,4042
3236,3236
2947,2947
5421,Patte
873,Patte
365,Tatras
1251,Patte
5073,Patte
5100,Pattatras
1845,Pattatras
4827,Patte
488,488
4110,Pattatras
2969,2969
4587,Patte
5370,Pattatras
1772,1772
5179,5179
3540,Pattatras
255,Pattatras
4068,Patte
1593,Patte
19,19
1482,Patte
2390,Tatras
2495,Tatras
1993,1993
4300,Tatras
2731,2731
3718,3718
932,932
6320,Tatras
6154,6154
1603,1603
315,Pattatras
2414,2414
4630,Tatras
517,517
2127,Patte
4297,4297
5915,Tatras
1325,Tatras
2931,Patte
3063,Patte
1787,1787
2343,Patte
5916,Patte
4831,4831
1551,Patte
4764,Patte
1610,Tatras
4490,Tatras
4292,4292
1778,1778
865,Tatras
693,Patte
2398,2398
1809,Patte
4805,Tatras
3662,3662
3361,3361
292,292
4273,4273
5544,Patte
3493,3493
6267,Patte
5630,Tatras
1591,1591
1328,1328
3325,Tatras
5994,Patte
5644,5644
1379,1379
1410,Pattatras
2140,Tatras
4568,4568
197,197
2648,2648
2435,Tatras
755,Tatras
398,398
2866,2866
3324,Patte
1440,Pattatras
2350,Tatras
2990,Tatras
2858,2858
5984,5984
420,Pattatras
4351,4351
4897,4897
2916,Patte
1709,1709
1201,1201
5456,5456
907,907
4853,4853
1998,Patte
5282,5282
1372,1372
6366,Patte
1326,Patte
2226,Patte
2207,2207
1309,1309
1090,Tatras
3672,Patte
1635,Pattatras
228,Patte
5700,Pattatras
5803,5803
80,Tatras
2748,Patte
5980,Tatras
3266,3266
99,Patte
3750,Pattatras
473,473
4561,4561
4228,4228
4962,Patte
307,307
1534,1534
105,Pattatras
5857,5857
2068,2068
6375,Pattatras
2298,Patte
1795,Tatras
1059,Patte
4664,4664
3253,3253
192,Patte
1633,1633
1179,Patte
3494,3494
3920,Tatras
2700,Pattatras
6012,Patte
1696,1696
2395,Tatras
356,356
2937,Patte
537,Patte
1098,Patte
5101,5101
6423,Patte
983,983
4170,Pattatras
5756,5756
5988,Patte
6026,6026
3965,Tatras
5259,Patte
2129,2129
6321,Patte
4261,4261
5628,Patte
914,914
1974,Patte
5247,Patte
6085,Tatras
485,Tatras
3747,Patte
3896,3896
4134,Patte
5302,5302
3146,3146
5858,5858
4536,Patte
3855,Pattatras
4792,4792
4533,Patte
2060,Tatras
4968,Patte
692,692
3721,3721
6145,Tatras
2851,2851
738,Patte
1836,Patte
4986,Patte
4131,Patte
5936,5936
3994,3994
378,Patte
1850,Tatras
2875,Tatras
2054,2054
6323,6323
1257,Patte
6106,6106
1922,1922
4243,4243
2911,2911
3545,Tatras
985,Tatras
6098,6098
2009,2009
5478,Patte
5033,5033
5823,Patte
3019,3019
5388,Patte
4181,4181
4663,4663
776,776
2913,Patte
1812,Patte
3468,Patte
642,Patte
2402,2402
2567,2567
4050,Pattatras
1684,1684
1074,Patte
608,608
5290,Tatras
632,632
5945,Tatras
2254,2254
3385,Tatras
6371,6371
4507,4507
5069,5069
4097,4097
3091,3091
1908,Patte
3469,3469
2216,2216
3187,3187
685,Tatras
2829,Patte
2266,2266
210,Pattatras
5038,5038
3162,Patte
5342,5342
6233,6233
5571,Patte
1370,Tatras
5513,5513
2976,Patte
5755,Tatras
4426,4426
1026,Patte
4082,4082
5653,5653
2946,Patte
1042,1042
1691,1691
3341,3341
3779,3779
5497,5497
5467,5467
4879,4879
3471,Patte
6093,Patte
4811,4811
2877,Patte
3177,Patte
158,158
5889,Patte
4824,Patte
2960,Tatras
1870,Tatras
6003,Patte
2479,2479
545,Tatras
3586,3586
3700,Tatras
3026,3026
2903,2903
1575,Pattatras
5361,Patte
1960,Tatras
496,496
3813,Patte
6127,6127
896,896
1392,Patte
1683,Patte
3957,Patte
3113,3113
2552,2552
996,Patte
1024,1024
6303,Patte
323,323
894,Patte
756,Patte
3133,3133
4010,Tatras
1977,Patte
4941,Patte
1524,Patte
3528,Patte
2846,2846
1338,Patte
2488,2488
2912,2912
2415,Pattatras
6445,Tatras
6450,Pattatras
4865,Tatras
1815,Pattatras
1412,1412
808,808
1649,1649
5798,5798
6409,6409
3295,Tatras
1002,Patte
1800,Pattatras
6354,Patte
5392,5392
3066,Patte
3918,Patte
3065,Tatras
4744,4744
5113,5113
525,Pattatras
4730,Tatras
1645,Tatras
1478,1478
617,617
3353,3353
2493,Patte
3058,3058
2806,2806
4530,Pattatras
224,224
799,799
169,169
6297,Patte
5468,5468
2046,Patte
2571,Patte
4343,4343
827,827
2599,2599
3035,Tatras
2653,2653
4363,4363
4579,4579
390,Pattatras
3214,3214
6097,6097
1903,1903
6005,Tatras
6083,6083
3217,3217
974,974
6313,6313
695,Tatras
4994,4994
3856,3856
4399,4399
1366,1366
5474,5474
1337,1337
5020,Tatras
2834,2834
5499,Patte
1137,Patte
5071,5071
3853,3853
151,151
4989,Patte
415,Tatras
205,Tatras
2733,Patte
3070,Tatras
5323,5323
5314,5314
4388,4388
684,Patte
539,539
5974,5974
1202,1202
1295,Tatras
3021,Patte
3547,3547
659,659
2789,2789
935,Tatras
3847,3847
5868,Patte
1289,1289
5443,5443
5654,5654
5854,5854
6365,Tatras
1999,1999
4619,4619
5056,5056
5304,Patte
816,Patte
1213,1213
6386,6386
211,211
5489,5489
4202,4202
3343,3343
3697,3697
2810,Tatras
561,Patte
458,458
1069,1069
3993,Patte
4868,4868
3041,3041
175,Tatras
2693,2693
2742,Patte
4477,4477
3455,Tatras
2987,2987
748,748
5245,Tatras
2899,2899
2600,Tatras
2586,Patte
351,Patte
5531,5531
6299,6299
4952,4952
854,854
2369,2369
5476,5476
4769,4769
1449,Patte
849,Patte
3221,3221
1943,1943
4551,Patte
2816,2816
5996,5996
4482,Patte
1658,1658
5048,5048
2447,2447
4864,4864
1614,Patte
4503,Patte
4733,4733
3004,3004
2714,2714
6454,6454
3076,3076
3840,Pattatras
2878,2878
2865,Pattatras
4614,Patte
361,361
2305,Tatras
5317,5317
100,Tatras
2953,2953
2793,Patte
5269,5269
3190,Tatras
4391,4391
887,887
368,368
3523,3523
2844,Patte
1985,Tatras
4220,Tatras
4240,Tatras
1666,1666
758,758
1972,1972
4678,4678
5205,Pattatras
2116,2116
801,Patte
3506,3506
5827,5827
3335,Tatras
2615,Tatras
4146,Patte
661,661
851,851
6221,6221
39,Patte
3908,3908
3943,3943
2841,Patte
3344,3344
646,646
966,Patte
343,343
775,Tatras
5632,5632
1762,1762
4302,Patte
3279,Patte
4065,Pattatras
645,Pattatras
3149,3149
613,613
1092,Patte
5895,Pattatras
6415,Tatras
4427,4427
3698,3698
171,Patte
3006,Patte
731,731
5656,5656
4213,4213
2647,2647
5285,Tatras
2786,2786
4314,Patte
6447,Patte
5256,Patte
5919,Patte
5002,5002
3825,Pattatras
2332,2332
2017,2017
6253,6253
3160,Tatras
2083,2083
3100,Tatras
320,Tatras
304,304
2328,Patte
4819,4819
3424,3424
463,463
6160,Tatras
1122,Patte
4352,4352
702,Patte
313,313
2296,2296
875,Tatras
6062,6062
504,Patte
2278,2278
3833,3833
5008,5008
3635,Tatras
3218,3218
5620,Tatras
3445,Tatras
4689,Patte
4737,Patte
2218,2218
5246,5246
297,Patte
5083,5083
793,793
2751,Patte
5741,5741
167,167
5875,Tatras
5511,Patte
5078,5078
1400,Tatras
5731,5731
4946,4946
5036,5036
2979,Patte
4092,Patte
1256,1256
2492,2492
3912,Patte
4014,Patte
2472,Patte
2893,2893
4411,4411
6276,Patte
2965,Tatras
5955,Pattatras
4164,Patte
5134,5134
3886,3886
5087,5087
6356,6356
5417,5417
2537,2537
3206,3206
2719,2719
453,Patte
1611,Patte
3781,3781
5258,5258
6231,Patte
4956,Patte
3693,Patte
2598,Patte
2977,2977
757,757
3379,3379
6236,6236
4801,4801
4661,4661
2453,2453
6357,Patte
3922,3922
4193,4193
5699,5699
1436,1436
4645,Tatras
214,214
3888,Patte
5030,Tatras
5005,Tatras
1659,Patte
2015,Tatras
4051,4051
3901,3901
2314,2314
5369,5369
721,721
2628,Patte
4665,Pattatras
4361,4361
4059,Patte
6310,Tatras
5881,5881
6426,Patte
4694,4694
5288,5288
2362,2362
627,Patte
5381,5381
5777,5777
4457,4457
2143,2143
4605,Pattatras
2544,Patte
3990,Pattatras
2058,Patte
4154,4154
3639,Patte
2809,2809
4894,4894
1082,1082
3501,Patte
4687,4687
3915,Pattatras
601,601
2773,2773
558,Patte
5856,Patte
2518,2518
2170,Tatras
109,109
2341,2341
922,922
2456,2456
5874,Patte
4150,Tatras
5503,5503
1848,Patte
3629,3629
2214,Patte
5843,5843
954,Patte
5053,5053
2482,2482
2253,Patte
1670,Tatras
5430,Pattatras
2650,Tatras
2845,Tatras
4696,4696
845,Tatras
6117,Patte
4928,4928
4631,4631
467,467
2478,Patte
1579,1579
4230,Pattatras
4157,4157
5031,Patte
1887,Patte
714,Patte
121,121
1564,1564
2459,2459
1483,1483
5174,5174
1313,1313
6156,Patte
1047,Patte
5319,Patte
4970,Tatras
3000,Pattatras
717,Patte
6206,6206
5665,Tatras
6046,6046
5209,5209
3441,Patte
4829,4829
4141,4141
5553,Patte
3935,Tatras
3087,Patte
1011,Patte
5401,5401
4407,Patte
6224,6224
609,Patte
563,563
868,868
4652,4652
4812,Patte
5287,5287
5850,Pattatras
4658,4658
3998,3998
5212,5212
3709,3709
6301,6301
5418,Patte
1131,Patte
747,Patte
3463,3463
1017,Patte
6294,Patte
4093,4093
